	Unnamed: 0	k	BF	sign	bias	self_loop	self_loop_index	Real_k	Real_sign	real_bias	EF_BF	avg_sen	complexity
0	0	4	0000000000000000	iiii	0	Y	0	0	constant	0	0	0.0	0
1	1	4	0000000000000000	iiii	0	Y	1	0	constant	0	0	0.0	0
2	2	4	0000000000000000	iiii	0	Y	2	0	constant	0	0	0.0	0
3	3	4	0000000000000000	iiii	0	Y	3	0	constant	0	0	0.0	0
4	4	4	0100000001000000	iiia	2	Y	0	3	iia	1	01000000	0.75	3
5	5	4	0100010000000000	iiia	2	Y	1	3	iia	1	01000000	0.75	3
6	6	4	0101000000000000	iiia	2	Y	2	3	iia	1	01000000	0.75	3
7	7	4	0101010001000000	iiia	4	Y	3	4	iiia	4	0101010001000000	1.25	6
8	8	4	0010000000100000	iiai	2	Y	0	3	iai	1	00100000	0.75	3
9	9	4	0010001000000000	iiai	2	Y	1	3	iai	1	00100000	0.75	3
10	10	4	0011001000100000	iiai	4	Y	2	4	iiai	4	0011001000100000	1.25	6
11	11	4	0011000000000000	iiai	2	Y	3	3	iia	1	01000000	0.75	3
12	12	4	0111000101110001	iiaa	8	Y	0	3	iaa	4	01110001	1.5	5
13	13	4	0111011100010001	iiaa	8	Y	1	3	iaa	4	01110001	1.5	5
14	14	4	0111001100110001	iiaa	8	Y	2	4	iiaa	8	0111001100110001	1.5	7
15	15	4	0111010101010001	iiaa	8	Y	3	4	iiaa	8	0111010101010001	1.5	7
16	16	4	0000100000001000	iaii	2	Y	0	3	aii	1	00001000	0.75	3
17	17	4	0000111000001000	iaii	4	Y	1	4	iaii	4	0000111000001000	1.25	6
18	18	4	0000101000000000	iaii	2	Y	2	3	iai	1	00100000	0.75	3
19	19	4	0000110000000000	iaii	2	Y	3	3	iai	1	00100000	0.75	3
20	20	4	0100110101001101	iaia	8	Y	0	3	aia	4	01001101	1.5	5
21	21	4	0100111100001101	iaia	8	Y	1	4	iaia	8	0100111100001101	1.5	7
22	22	4	0101111100000101	iaia	8	Y	2	3	iaa	4	01110001	1.5	5
23	23	4	0101110101000101	iaia	8	Y	3	4	iaia	8	0101110101000101	1.5	7
24	24	4	0010101100101011	iaai	8	Y	0	3	aai	4	00101011	1.5	5
25	25	4	0010111100001011	iaai	8	Y	1	4	iaai	8	0010111100001011	1.5	7
26	26	4	0011101100100011	iaai	8	Y	2	4	iaai	8	0011101100100011	1.5	7
27	27	4	0011111100000011	iaai	8	Y	3	3	iaa	4	01110001	1.5	5
28	28	4	0111111101111111	iaaa	14	Y	0	3	aaa	7	01111111	0.75	3
29	29	4	0111111100011111	iaaa	12	Y	1	4	iaaa	12	0111111100011111	1.25	6
30	30	4	0111111100110111	iaaa	12	Y	2	4	iaaa	12	0111111100110111	1.25	6
31	31	4	0111111101010111	iaaa	12	Y	3	4	iaaa	12	0111111101010111	1.25	6
32	32	4	0000000011101000	aiii	4	Y	0	4	aiii	4	0000000011101000	1.25	6
33	33	4	0000000010001000	aiii	2	Y	1	3	aii	1	00001000	0.75	3
34	34	4	0000000010100000	aiii	2	Y	2	3	aii	1	00001000	0.75	3
35	35	4	0000000011000000	aiii	2	Y	3	3	aii	1	00001000	0.75	3
36	36	4	0100000011111101	aiia	8	Y	0	4	aiia	8	0100000011111101	1.5	7
37	37	4	0100010011011101	aiia	8	Y	1	3	aia	4	01001101	1.5	5
38	38	4	0101000011110101	aiia	8	Y	2	3	aia	4	01001101	1.5	5
39	39	4	0101010011010101	aiia	8	Y	3	4	aiia	8	0101010011010101	1.5	7
40	40	4	0010000011111011	aiai	8	Y	0	4	aiai	8	0010000011111011	1.5	7
41	41	4	0010001010111011	aiai	8	Y	1	3	aai	4	00101011	1.5	5
42	42	4	0011001010110011	aiai	8	Y	2	4	aiai	8	0011001010110011	1.5	7
43	43	4	0011000011110011	aiai	8	Y	3	3	aia	4	01001101	1.5	5
44	44	4	0111000111111111	aiaa	12	Y	0	4	aiaa	12	0111000111111111	1.25	6
45	45	4	0111011111111111	aiaa	14	Y	1	3	aaa	7	01111111	0.75	3
46	46	4	0111001111110111	aiaa	12	Y	2	4	aiaa	12	0111001111110111	1.25	6
47	47	4	0111010111110111	aiaa	12	Y	3	4	aiaa	12	0111010111110111	1.25	6
48	48	4	0000100011101111	aaii	8	Y	0	4	aaii	8	0000100011101111	1.5	7
49	49	4	0000111010001111	aaii	8	Y	1	4	aaii	8	0000111010001111	1.5	7
50	50	4	0000101010101111	aaii	8	Y	2	3	aai	4	00101011	1.5	5
51	51	4	0000110011001111	aaii	8	Y	3	3	aai	4	00101011	1.5	5
52	52	4	0100110111111111	aaia	12	Y	0	4	aaia	12	0100110111111111	1.25	6
53	53	4	0100111111011111	aaia	12	Y	1	4	aaia	12	0100111111011111	1.25	6
54	54	4	0101111111111111	aaia	14	Y	2	3	aaa	7	01111111	0.75	3
55	55	4	0101110111011111	aaia	12	Y	3	4	aaia	12	0101110111011111	1.25	6
56	56	4	0010101111111111	aaai	12	Y	0	4	aaai	12	0010101111111111	1.25	6
57	57	4	0010111110111111	aaai	12	Y	1	4	aaai	12	0010111110111111	1.25	6
58	58	4	0011101110111111	aaai	12	Y	2	4	aaai	12	0011101110111111	1.25	6
59	59	4	0011111111111111	aaai	14	Y	3	3	aaa	7	01111111	0.75	3
60	60	4	0111111111111111	aaaa	15	Y	0	4	aaaa	15	0111111111111111	0.5	4
61	61	4	0111111111111111	aaaa	15	Y	1	4	aaaa	15	0111111111111111	0.5	4
62	62	4	0111111111111111	aaaa	15	Y	2	4	aaaa	15	0111111111111111	0.5	4
63	63	4	0111111111111111	aaaa	15	Y	3	4	aaaa	15	0111111111111111	0.5	4
64	64	4	00000000000000001000000000000000	iiii	1	N	0	5	aiiii	1	00000000000000001000000000000000	0.3125	5
65	65	4	01000000000000001101010001000000	iiia	6	N	0	5	aiiia	6	01000000000000001101010001000000	1.25	14
66	66	4	00100000000000001011001000100000	iiai	6	N	0	5	aiiai	6	00100000000000001011001000100000	1.25	14
67	67	4	01110001000100001111011101110001	iiaa	16	N	0	5	aiiaa	16	01110001000100001111011101110001	1.875	19
68	68	4	00001000000000001000111000001000	iaii	6	N	0	5	aiaii	6	00001000000000001000111000001000	1.25	14
69	69	4	01001101000001001101111101001101	iaia	16	N	0	5	aiaia	16	01001101000001001101111101001101	1.875	19
70	70	4	00101011000000101011111100101011	iaai	16	N	0	5	aiaai	16	00101011000000101011111100101011	1.875	19
71	71	4	01111111000101111111111101111111	iaaa	26	N	0	5	aiaaa	26	01111111000101111111111101111111	1.25	14
72	72	4	00000000100000001000000011101000	aiii	6	N	0	5	aaiii	6	00000000100000001000000011101000	1.25	14
73	73	4	01000000110101001101010011111101	aiia	16	N	0	5	aaiia	16	01000000110101001101010011111101	1.875	19
74	74	4	00100000101100101011001011111011	aiai	16	N	0	5	aaiai	16	00100000101100101011001011111011	1.875	19
75	75	4	01110001111101111111011111111111	aiaa	26	N	0	5	aaiaa	26	01110001111101111111011111111111	1.25	14
76	76	4	00001000100011101000111011101111	aaii	16	N	0	5	aaaii	16	00001000100011101000111011101111	1.875	19
77	77	4	01001101110111111101111111111111	aaia	26	N	0	5	aaaia	26	01001101110111111101111111111111	1.25	14
78	78	4	00101011101111111011111111111111	aaai	26	N	0	5	aaaai	26	00101011101111111011111111111111	1.25	14
79	79	4	01111111111111111111111111111111	aaaa	31	N	0	5	aaaaa	31	01111111111111111111111111111111	0.3125	5
80	80	4	00000000100000000000000000000000	iiii	1	N	1	5	iaiii	1	00000000100000000000000000000000	0.3125	5
81	81	4	01000000110101000000000001000000	iiia	6	N	1	5	iaiia	6	01000000110101000000000001000000	1.25	14
82	82	4	00100000101100100000000000100000	iiai	6	N	1	5	iaiai	6	00100000101100100000000000100000	1.25	14
83	83	4	01110001111101110001000001110001	iiaa	16	N	1	5	iaiaa	16	01110001111101110001000001110001	1.875	19
84	84	4	00001000100011100000000000001000	iaii	6	N	1	5	iaaii	6	00001000100011100000000000001000	1.25	14
85	85	4	01001101110111110000010001001101	iaia	16	N	1	5	iaaia	16	01001101110111110000010001001101	1.875	19
86	86	4	00101011101111110000001000101011	iaai	16	N	1	5	iaaai	16	00101011101111110000001000101011	1.875	19
87	87	4	01111111111111110001011101111111	iaaa	26	N	1	5	iaaaa	26	01111111111111110001011101111111	1.25	14
88	88	4	00000000100000001000000011101000	aiii	6	N	1	5	aaiii	6	00000000100000001000000011101000	1.25	14
89	89	4	01000000110101001101010011111101	aiia	16	N	1	5	aaiia	16	01000000110101001101010011111101	1.875	19
90	90	4	00100000101100101011001011111011	aiai	16	N	1	5	aaiai	16	00100000101100101011001011111011	1.875	19
91	91	4	01110001111101111111011111111111	aiaa	26	N	1	5	aaiaa	26	01110001111101111111011111111111	1.25	14
92	92	4	00001000100011101000111011101111	aaii	16	N	1	5	aaaii	16	00001000100011101000111011101111	1.875	19
93	93	4	01001101110111111101111111111111	aaia	26	N	1	5	aaaia	26	01001101110111111101111111111111	1.25	14
94	94	4	00101011101111111011111111111111	aaai	26	N	1	5	aaaai	26	00101011101111111011111111111111	1.25	14
95	95	4	01111111111111111111111111111111	aaaa	31	N	1	5	aaaaa	31	01111111111111111111111111111111	0.3125	5
96	96	4	00001000000000000000000000000000	iiii	1	N	2	5	iiaii	1	00001000000000000000000000000000	0.3125	5
97	97	4	01001101000001000000010000000000	iiia	6	N	2	5	iiaia	6	01001101000001000000010000000000	1.25	14
98	98	4	00101011000000100000001000000000	iiai	6	N	2	5	iiaai	6	00101011000000100000001000000000	1.25	14
99	99	4	01111111000101110001011100000001	iiaa	16	N	2	5	iiaaa	16	01111111000101110001011100000001	1.875	19
100	100	4	00001000100011100000000000001000	iaii	6	N	2	5	iaaii	6	00001000100011100000000000001000	1.25	14
101	101	4	01001101110111110000010001001101	iaia	16	N	2	5	iaaia	16	01001101110111110000010001001101	1.875	19
102	102	4	00101011101111110000001000101011	iaai	16	N	2	5	iaaai	16	00101011101111110000001000101011	1.875	19
103	103	4	01111111111111110001011101111111	iaaa	26	N	2	5	iaaaa	26	01111111111111110001011101111111	1.25	14
104	104	4	00001000000000001000111000001000	aiii	6	N	2	5	aiaii	6	00001000000000001000111000001000	1.25	14
105	105	4	01001101000001001101111101001101	aiia	16	N	2	5	aiaia	16	01001101000001001101111101001101	1.875	19
106	106	4	00101011000000101011111100101011	aiai	16	N	2	5	aiaai	16	00101011000000101011111100101011	1.875	19
107	107	4	01111111000101111111111101111111	aiaa	26	N	2	5	aiaaa	26	01111111000101111111111101111111	1.25	14
108	108	4	00001000100011101000111011101111	aaii	16	N	2	5	aaaii	16	00001000100011101000111011101111	1.875	19
109	109	4	01001101110111111101111111111111	aaia	26	N	2	5	aaaia	26	01001101110111111101111111111111	1.25	14
110	110	4	00101011101111111011111111111111	aaai	26	N	2	5	aaaai	26	00101011101111111011111111111111	1.25	14
111	111	4	01111111111111111111111111111111	aaaa	31	N	2	5	aaaaa	31	01111111111111111111111111111111	0.3125	5
112	112	4	00100000000000000000000000000000	iiii	1	N	3	5	iiiai	1	00100000000000000000000000000000	0.3125	5
113	113	4	01110001000100000001000000000000	iiia	6	N	3	5	iiiaa	6	01110001000100000001000000000000	1.25	14
114	114	4	00101011000000100000001000000000	iiai	6	N	3	5	iiaai	6	00101011000000100000001000000000	1.25	14
115	115	4	01111111000101110001011100000001	iiaa	16	N	3	5	iiaaa	16	01111111000101110001011100000001	1.875	19
116	116	4	00100000101100100000000000100000	iaii	6	N	3	5	iaiai	6	00100000101100100000000000100000	1.25	14
117	117	4	01110001111101110001000001110001	iaia	16	N	3	5	iaiaa	16	01110001111101110001000001110001	1.875	19
118	118	4	00101011101111110000001000101011	iaai	16	N	3	5	iaaai	16	00101011101111110000001000101011	1.875	19
119	119	4	01111111111111110001011101111111	iaaa	26	N	3	5	iaaaa	26	01111111111111110001011101111111	1.25	14
120	120	4	00100000000000001011001000100000	aiii	6	N	3	5	aiiai	6	00100000000000001011001000100000	1.25	14
121	121	4	01110001000100001111011101110001	aiia	16	N	3	5	aiiaa	16	01110001000100001111011101110001	1.875	19
122	122	4	00101011000000101011111100101011	aiai	16	N	3	5	aiaai	16	00101011000000101011111100101011	1.875	19
123	123	4	01111111000101111111111101111111	aiaa	26	N	3	5	aiaaa	26	01111111000101111111111101111111	1.25	14
124	124	4	00100000101100101011001011111011	aaii	16	N	3	5	aaiai	16	00100000101100101011001011111011	1.875	19
125	125	4	01110001111101111111011111111111	aaia	26	N	3	5	aaiaa	26	01110001111101111111011111111111	1.25	14
126	126	4	00101011101111111011111111111111	aaai	26	N	3	5	aaaai	26	00101011101111111011111111111111	1.25	14
127	127	4	01111111111111111111111111111111	aaaa	31	N	3	5	aaaaa	31	01111111111111111111111111111111	0.3125	5
128	128	4	01000000000000000000000000000000	iiii	1	N	4	5	iiiia	1	01000000000000000000000000000000	0.3125	5
129	129	4	01110001000100000001000000000000	iiia	6	N	4	5	iiiaa	6	01110001000100000001000000000000	1.25	14
130	130	4	01001101000001000000010000000000	iiai	6	N	4	5	iiaia	6	01001101000001000000010000000000	1.25	14
131	131	4	01111111000101110001011100000001	iiaa	16	N	4	5	iiaaa	16	01111111000101110001011100000001	1.875	19
132	132	4	01000000110101000000000001000000	iaii	6	N	4	5	iaiia	6	01000000110101000000000001000000	1.25	14
133	133	4	01110001111101110001000001110001	iaia	16	N	4	5	iaiaa	16	01110001111101110001000001110001	1.875	19
134	134	4	01001101110111110000010001001101	iaai	16	N	4	5	iaaia	16	01001101110111110000010001001101	1.875	19
135	135	4	01111111111111110001011101111111	iaaa	26	N	4	5	iaaaa	26	01111111111111110001011101111111	1.25	14
136	136	4	01000000000000001101010001000000	aiii	6	N	4	5	aiiia	6	01000000000000001101010001000000	1.25	14
137	137	4	01110001000100001111011101110001	aiia	16	N	4	5	aiiaa	16	01110001000100001111011101110001	1.875	19
138	138	4	01001101000001001101111101001101	aiai	16	N	4	5	aiaia	16	01001101000001001101111101001101	1.875	19
139	139	4	01111111000101111111111101111111	aiaa	26	N	4	5	aiaaa	26	01111111000101111111111101111111	1.25	14
140	140	4	01000000110101001101010011111101	aaii	16	N	4	5	aaiia	16	01000000110101001101010011111101	1.875	19
141	141	4	01110001111101111111011111111111	aaia	26	N	4	5	aaiaa	26	01110001111101111111011111111111	1.25	14
142	142	4	01001101110111111101111111111111	aaai	26	N	4	5	aaaia	26	01001101110111111101111111111111	1.25	14
143	143	4	01111111111111111111111111111111	aaaa	31	N	4	5	aaaaa	31	01111111111111111111111111111111	0.3125	5
